id,type,speaker_or_blank,text,translation_or_blank
E1011,phrase,Mia,Hello!,¡Hola!
E1012,phrase,Ethan,Hi.,Hola.
E1013,phrase,Mia,Good morning.,Buenos días.
E1014,phrase,Ethan,Good morning.,Buenos días.
E1015,phrase,Mia,Welcome to Westfield School.,Bienvenido a la escuela Westfield.
E1016,phrase,Ethan,Thank you.,Gracias.
E1021,phrase,Mia,What's your name?,¿Cómo te llamas?
E1022,phrase,Ethan,My name is Ethan.,Me llamo Ethan.
E1023,phrase,Mia,I'm Mia.,Soy Mia.
E1024,phrase,Ethan,"Nice to meet you, Mia.","Mucho gusto, Mia."
E1025,phrase,Mia,Nice to meet you too.,Mucho gusto también.
E1026,phrase,Ethan,Thank you for your help.,Gracias por tu ayuda.
E1031,phrase,Noah,"Hi, Mia. Who is he?","Hola, Mia. ¿Quién es él?"
E1032,phrase,Mia,He is Ethan.,Él es Ethan.
E1033,phrase,Ethan,Hello. Are you Noah?,Hola. ¿Eres Noah?
E1034,phrase,Noah,"Yes, I am.",Sí.
E1035,phrase,Mia,We are classmates.,Somos compañeros de clase.
E1036,phrase,Noah,"Great! Welcome, Ethan.","¡Genial! Bienvenido, Ethan."
E1041,phrase,Noah,"Where are you from, Ethan?","¿De dónde eres, Ethan?"
E1042,phrase,Ethan,I'm from Mexico.,Soy de México.
E1043,phrase,Mia,I'm from Canada.,Soy de Canadá.
E1044,phrase,Noah,I'm from Australia.,Soy de Australia.
E1045,phrase,Ethan,Is this an international school?,¿Esta es una escuela internacional?
E1046,phrase,Mia,"Yes, it is.","Sí, lo es."
E1051,phrase,Mr. Carter,What language do you speak?,¿Qué idioma hablas?
E1052,phrase,Ethan,I speak Spanish.,Hablo español.
E1053,phrase,Mia,I speak English and French.,Hablo inglés y francés.
E1054,phrase,Noah,I speak English.,Hablo inglés.
E1055,phrase,Ethan,"Do you speak Spanish, Noah?","¿Hablas español, Noah?"
E1056,phrase,Noah,"No, I don't.",No.
E1061,phrase,Mia,How are you today?,¿Cómo estás hoy?
E1062,phrase,Ethan,"I'm fine, thank you.","Estoy bien, gracias."
E1063,phrase,Noah,I'm tired.,Estoy cansado.
E1064,phrase,Mia,Are you okay?,¿Estás bien?
E1065,phrase,Noah,Yes. I'm just sleepy.,Sí. Solo tengo sueño.
E1066,phrase,Ethan,I'm a little nervous.,Estoy un poco nervioso.
E1071,phrase,Mia,Class is over.,La clase terminó.
E1072,phrase,Ethan,Is it time to go home?,¿Es hora de ir a casa?
E1073,phrase,Noah,Yes. See you tomorrow.,Sí. Nos vemos mañana.
E1074,phrase,Ethan,See you tomorrow.,Nos vemos mañana.
E1075,phrase,Mia,Have a good afternoon.,Que tengas una buena tarde.
E1076,phrase,Ethan,You too. Goodbye!,Igualmente. ¡Adiós!
E1081,phrase,Mr. Carter,This is a desk.,Esto es un escritorio.
E1082,phrase,Mia,That is a chair.,Eso es una silla.
E1083,phrase,Ethan,Is this a book?,¿Esto es un libro?
E1084,phrase,Mr. Carter,"Yes, it is.",Sí.
E1085,phrase,Noah,Is that a window?,¿Eso es una ventana?
E1086,phrase,Mr. Carter,No. That is a door.,No. Eso es una puerta.
E1091,phrase,Mr. Carter,"Open your book, please.","Abre tu libro, por favor."
E1092,phrase,Ethan,What page?,¿Qué página?
E1093,phrase,Mr. Carter,Page ten.,Página diez.
E1094,phrase,Mia,Please repeat that.,Por favor repita eso.
E1095,phrase,Mr. Carter,Page ten. Don't close the book.,Página diez. No cierres el libro.
E1096,phrase,Noah,"Okay, Mr. Carter.","Está bien, profesor Carter."
E1101,phrase,Ethan,Mr. Carter is my teacher.,El señor Carter es mi profesor.
E1102,phrase,Mia,He is very kind.,Él es muy amable.
E1103,phrase,Noah,He is also funny.,También es divertido.
