id,type,speaker_or_blank,text,translation_or_blank
HFA2011,phrase,Camille,Tu as travaillé hier ?,¿Trabajaste ayer?
HFA2012,phrase,Jérôme,"Oui, j’ai travaillé toute l’après-midi à la librairie.","Sí, trabajé toda la tarde en la librería."
HFA2013,phrase,Camille,Tu as fini tard ?,¿Terminaste tarde?
HFA2014,phrase,Jérôme,"Oui, j’ai fermé le magasin à dix-neuf heures.","Sí, cerré la tienda a las siete."
HFA2015,phrase,Camille,"Et après, tu as fait quoi ?",¿Y después qué hiciste?
HFA2016,phrase,Jérôme,"J’ai mangé avec des collègues, puis je suis rentré chez moi.",Comí con unos compañeros y luego regresé a casa.
HFA2V001,word,,hier,ayer
HFA2V002,word,,toute l’après-midi,toda la tarde
HFA2V003,word,,fermer,cerrar
HFA2V004,word,,le magasin,la tienda
HFA2V005,word,,un collègue,un compañero de trabajo
HFA2V006,word,,rentrer,regresar
HFA2021,phrase,Camille,Tu es allé où dimanche matin ?,¿A dónde fuiste el domingo por la mañana?
HFA2022,phrase,Jérôme,Je suis allé au marché avec Julien.,Fui al mercado con Julien.
HFA2023,phrase,Camille,Vous êtes partis tôt ?,¿Salieron temprano?
HFA2024,phrase,Jérôme,"Oui, nous sommes partis vers huit heures.","Sí, salimos como a las ocho."
HFA2025,phrase,Camille,Et vous êtes revenus quand ?,¿Y cuándo regresaron?
HFA2026,phrase,Jérôme,Nous sommes revenus avant midi.,Regresamos antes del mediodía.
HFA2V007,word,,le marché,el mercado
HFA2V008,word,,partir,salir / partir
HFA2V009,word,,revenir,regresar
HFA2V010,word,,tôt,temprano
HFA2V011,word,,avant midi,antes del mediodía
HFA2V012,word,,dimanche matin,el domingo por la mañana
HFA2031,phrase,Madame Martin,Vous avez compris l’exercice ?,¿Entendió el ejercicio?
HFA2032,phrase,Jérôme,Pas vraiment. Je n’ai pas compris la dernière question.,No mucho. No entendí la última pregunta.
HFA2033,phrase,Madame Martin,Vous avez essayé de la relire ?,¿Intentó releerla?
HFA2034,phrase,Jérôme,"Oui, mais je n’ai rien trouvé dans mes notes.","Sí, pero no encontré nada en mis notas."
HFA2035,phrase,Madame Martin,Vous n’avez jamais vu cette structure ?,¿Nunca había visto esta estructura?
HFA2036,phrase,Jérôme,"Non, je ne l’ai jamais étudiée avant aujourd’hui.","No, nunca la había estudiado antes de hoy."
HFA2V013,word,,comprendre,entender
HFA2V014,word,,la question,la pregunta
HFA2V015,word,,relire,releer
HFA2V016,word,,les notes,los apuntes
HFA2V017,word,,la structure,la estructura
HFA2V018,word,,avant aujourd’hui,antes de hoy
HFA2041,phrase,Camille,Tu as déjà visité Paris ?,¿Ya visitaste París?
HFA2042,phrase,Jérôme,"Non, je n’y suis jamais allé.","No, nunca he ido."
HFA2043,phrase,Camille,Tu as déjà pris le train en France ?,¿Ya tomaste el tren en Francia?
HFA2044,phrase,Jérôme,"Oui, je l’ai pris deux fois.","Sí, lo tomé dos veces."
HFA2045,phrase,Camille,Tu veux encore voyager ce mois-ci ?,¿Todavía quieres viajar este mes?
HFA2046,phrase,Jérôme,"Oui, j’aimerais découvrir Strasbourg.","Sí, me gustaría conocer Estrasburgo."
HFA2V019,word,,déjà,ya
HFA2V020,word,,jamais,nunca
HFA2V021,word,,deux fois,dos veces
HFA2V022,word,,voyager,viajar
HFA2V023,word,,découvrir,descubrir
HFA2V024,word,,ce mois-ci,este mes
HFA2051,phrase,Camille,Tu faisais quoi quand tu étais enfant ?,¿Qué hacías cuando eras niño?
HFA2052,phrase,Jérôme,Je dessinais souvent dans ma chambre.,Dibujaba seguido en mi habitación.
HFA2053,phrase,Camille,Tu avais déjà un appareil photo ?,¿Ya tenías cámara?
HFA2054,phrase,Jérôme,"Non, mais mon père avait un vieil appareil.","No, pero mi padre tenía una cámara vieja."
HFA2055,phrase,Camille,Vous preniez beaucoup de photos ?,¿Tomaban muchas fotos?
HFA2056,phrase,Jérôme,"Oui, surtout pendant les vacances.","Sí, sobre todo durante las vacaciones."
HFA2V025,word,,quand,cuando
HFA2V026,word,,l’enfance,la infancia
HFA2V027,word,,dessiner,dibujar
HFA2V028,word,,un appareil photo,una cámara
HFA2V029,word,,vieux / vieille,viejo / vieja
HFA2V030,word,,les vacances,las vacaciones
HFA2061,phrase,Jérôme,"Samedi, il faisait froid et il pleuvait.",El sábado hacía frío y llovía.
HFA2062,phrase,Jérôme,J’ai travaillé à la librairie jusqu’à dix-neuf heures.,Trabajé en la librería hasta las siete.
HFA2063,phrase,Jérôme,"Après le travail, j’ai rejoint Camille et Julien.","Después del trabajo, me reuní con Camille y Julien."
HFA2064,phrase,Jérôme,"Le restaurant était petit, mais très chaleureux.","El restaurante era pequeño, pero muy acogedor."
HFA2065,phrase,Jérôme,Nous avons parlé pendant presque deux heures.,Hablamos durante casi dos horas.
HFA2066,phrase,Jérôme,"Puis, je suis rentré parce que j’étais fatigué.",Luego regresé porque estaba cansado.
HFA2V031,word,,rejoindre,reunirse con
HFA2V032,word,,chaleureux,acogedor
HFA2V033,word,,presque,casi
HFA2V034,word,,pendant,durante
HFA2V035,word,,fatigué,cansado
HFA2V036,word,,jusqu’à,hasta
HFA2071,phrase,Employée,"Bonjour, vous désirez ?","Buenos días, ¿qué desea?"
HFA2072,phrase,Jérôme,Je voudrais un aller-retour pour Strasbourg.,Quisiera un boleto redondo a Estrasburgo.
HFA2073,phrase,Employée,Vous partez quel jour ?,¿Qué día sale?
HFA2074,phrase,Jérôme,"Vendredi matin, si possible.","El viernes por la mañana, si es posible."
HFA2075,phrase,Employée,Le train part à huit heures vingt et arrive à dix heures cinq.,El tren sale a las ocho veinte y llega a las diez cinco.
HFA2076,phrase,Jérôme,Très bien. Je prends ce train.,Muy bien. Tomo ese tren.
HFA2V037,word,,un billet,un boleto
HFA2V038,word,,un aller-retour,ida y vuelta
HFA2V039,word,,arriver,llegar
HFA2V040,word,,si possible,si es posible
HFA2V041,word,,le quai,el andén
HFA2081,phrase,Réceptionniste,"Bonjour, vous avez une réservation ?","Buenos días, ¿tiene una reservación?"
HFA2082,phrase,Jérôme,"Oui, au nom de Lafarge.","Sí, a nombre de Lafarge."
HFA2083,phrase,Réceptionniste,Votre chambre n’est pas encore prête.,Su habitación todavía no está lista.
HFA2084,phrase,Jérôme,Est-ce que je pourrais laisser ma valise ici ?,¿Podría dejar mi maleta aquí?
HFA2085,phrase,Réceptionniste,Bien sûr. Nous pouvons la garder jusqu’à midi.,Claro. Podemos guardarla hasta el mediodía.
HFA2086,phrase,Jérôme,"Merci, cela m’aide beaucoup.","Gracias, eso me ayuda mucho."
HFA2V042,word,,la réservation,la reservación
HFA2V043,word,,être prêt,estar listo
HFA2V044,word,,la valise,la maleta
HFA2V045,word,,garder,guardar
HFA2V046,word,,jusqu’à midi,hasta el mediodía
HFA2V047,word,,cela,eso
HFA2091,phrase,Camille,Je crois qu’on s’est trompés de rue.,Creo que nos equivocamos de calle.
HFA2092,phrase,Jérôme,"Oui, on s’est peut-être perdus.","Sí, quizá nos perdimos."
HFA2093,phrase,Camille,Tu as regardé la carte ?,¿Revisaste el mapa?
HFA2094,phrase,Jérôme,"Oui, mais je me suis trompé de direction.","Sí, pero me equivoqué de dirección."
HFA2095,phrase,Camille,Ce n’est pas grave. On peut revenir en arrière.,No es grave. Podemos regresar.
HFA2096,phrase,Jérôme,"D’accord, suivons les panneaux.","De acuerdo, sigamos los señalamientos."
HFA2V048,word,,se tromper,equivocarse
HFA2V049,word,,se perdre,perderse
HFA2V050,word,,la carte,el mapa
HFA2V051,word,,la direction,la dirección
HFA2V052,word,,revenir en arrière,regresar
HFA2V053,word,,un panneau,un señalamiento
HFA2101,phrase,Guide,Voici la place qui se trouve au centre du quartier.,Esta es la plaza que está en el centro del barrio.
HFA2102,phrase,Jérôme,C’est le bâtiment que nous avons vu sur la brochure ?,¿Es el edificio que vimos en el folleto?
HFA2103,phrase,Guide,"Oui, c’est un ancien hôtel qui date du dix-huitième siècle.","Sí, es un antiguo hotel que data del siglo XVIII."
HFA2104,phrase,Camille,Et la rue que nous allons prendre est très vieille ?,¿Y la calle que vamos a tomar es muy antigua?
HFA2105,phrase,Guide,"Oui, c’est une rue qui existe depuis plus de trois cents ans.","Sí, es una calle que existe desde hace más de trescientos años."
HFA2106,phrase,Jérôme,C’est impressionnant.,Es impresionante.
HFA2V054,word,,la place,la plaza
HFA2V055,word,,le quartier,el barrio
HFA2V056,word,,le bâtiment,el edificio
HFA2V057,word,,une brochure,un folleto
HFA2V058,word,,ancien,antiguo
HFA2V059,word,,depuis,desde / desde hace
HFA2111,phrase,Camille,Le bus est moins cher que le tram.,El autobús es más barato que el tranvía.
HFA2112,phrase,Jérôme,"Oui, mais le tram est plus rapide.","Sí, pero el tranvía es más rápido."
HFA2113,phrase,Camille,Et le vélo est peut-être le moyen le plus pratique.,Y la bicicleta quizá sea el medio más práctico.
HFA2114,phrase,Jérôme,"Pour moi, marcher est mieux quand il fait beau.","Para mí, caminar es mejor cuando hace buen tiempo."
HFA2115,phrase,Camille,"Alors, quel est le meilleur itinéraire ?","Entonces, ¿cuál es la mejor ruta?"
HFA2116,phrase,Jérôme,Prenons le tram et revenons à pied.,Tomemos el tranvía y regresemos caminando.
HFA2V060,word,,moins cher,más barato
