id,type,speaker_or_blank,text,translation_or_blank
1043,phrase,Saul,감사합니다.,Gracias.
1119,phrase,Aru,괜찮아요.,Está bien.
1120,phrase,Saul,네. 괜찮아요.,Sí. Estoy bien.
P003,word,,괜찮아요,estar bien
P005,word,,몰라요,no sé
P008,word,,집,casa
P012,word,,물,agua
P015,word,,먹다,comer
P021,word,,길,camino
P029,word,,마을,aldea
P084,word,,시장,mercado
P092,word,,얼마예요,cuánto cuesta
P147,word,,지도,mapa
P172,word,,도시,ciudad
P179,word,,시작,comienzo
4001,phrase,Saul,사람이 정말 많아요. 어디로 가야 해요?,Hay muchísima gente. ¿A dónde tenemos que ir?
4002,phrase,Aru,먼저 성문을 지나서 안으로 들어가야 해요.,Primero tenemos que pasar la puerta de la ciudad y entrar.
4003,phrase,Hana,조심하세요. 도시에서는 길을 잃기 쉬워요.,Ten cuidado. En la ciudad es fácil perderse.
4004,phrase,Joon,저기 보이는 큰 건물이 안내소예요.,El edificio grande que se ve allí es la oficina de información.
4005,phrase,Saul,안내소요? 거기에서 길을 물어볼 수 있어요?,¿Oficina de información? ¿Allí puedo preguntar el camino?
4006,phrase,Aru,네. 모르면 물어보면 돼요.,"Sí. Si no sabes, basta con preguntar."
P180,word,,성문,puerta de la ciudad
P181,word,,안내소,oficina de información
P182,word,,건물,edificio
P183,word,,묻다,preguntar
4007,phrase,Dueña,어서 오세요. 방을 찾고 계세요?,Bienvenidos. ¿Están buscando una habitación?
4008,phrase,Joon,네. 네 명이 잘 수 있는 방이 있나요?,Sí. ¿Hay una habitación donde puedan dormir cuatro personas?
4009,phrase,Dueña,큰 방은 하나 남았어요. 하지만 조금 비싸요.,Queda una habitación grande. Pero es un poco cara.
4010,phrase,Saul,얼마예요?,¿Cuánto cuesta?
4011,phrase,Dueña,하룻밤에 삼천 원이에요. 열쇠는 여기 있어요.,Tres mil wones por una noche. La llave está aquí.
4012,phrase,Saul,조금 비싸지만 오늘은 쉬는 게 좋을 것 같아요.,"Es un poco caro, pero creo que hoy sería bueno descansar."
P184,word,,찾다,buscar
P185,word,,남다,quedar
P186,word,,하룻밤,una noche
