id,type,speaker_or_blank,text,translation_or_blank
1010,phrase,Saul,네?,¿Sí? / ¿Perdón?
1043,phrase,Saul,감사합니다.,Gracias.
1119,phrase,Aru,괜찮아요.,Está bien.
1120,phrase,Saul,네. 괜찮아요.,Sí. Estoy bien.
P003,word,,괜찮아요,estar bien
P008,word,,집,casa
P012,word,,물,agua
P014,word,,음식,comida
P015,word,,먹다,comer
P029,word,,마을,aldea
P030,word,,안전해요,es seguro
2001,phrase,Hana,"사울 씨, 잘 잤어요?","Saul, ¿dormiste bien?"
2002,phrase,Saul,"네, 잘 잤어요. 그런데 아직 조금 피곤해요.","Sí, dormí bien. Pero todavía estoy un poco cansado."
2003,phrase,Hana,괜찮아요. 오늘은 천천히 쉬어도 돼요.,Está bien. Hoy puedes descansar despacio.
2004,phrase,Aru,"사울 씨, 아침이에요. 일어나야 해요.","Saul, ya es de mañana. Tienes que levantarte."
2005,phrase,Saul,벌써 아침이에요? 시간이 빨라요.,¿Ya es de mañana? El tiempo pasa rápido.
2006,phrase,Aru,네. 마을에서는 아침이 아주 중요해요.,"Sí. En la aldea, la mañana es muy importante."
P031,word,,아침,mañana / desayuno
P032,word,,피곤해요,estoy cansado
P033,word,,쉬다,descansar
P034,word,,일어나다,levantarse
P035,word,,중요해요,es importante
2007,phrase,Hana,여기는 부엌이에요. 여기에서 음식을 만들어요.,Esta es la cocina. Aquí hacemos la comida.
2008,phrase,Saul,부엌... 음식을 만드는 곳이에요?,Cocina... ¿es el lugar donde se hace comida?
2009,phrase,Hana,맞아요. 그리고 저기는 방이에요.,Exacto. Y aquello es una habitación.
2010,phrase,Aru,사울 씨는 오늘 그 방에서 쉬면 돼요.,"Saul, hoy puedes descansar en esa habitación."
2011,phrase,Saul,정말요? 감사합니다. 이 집은 따뜻해요.,¿De verdad? Gracias. Esta casa es cálida.
2012,phrase,Hana,우리 집이라고 생각해도 돼요.,Puedes pensar que es nuestra casa.
P036,word,,부엌,cocina
P037,word,,만들다,hacer / crear
P038,word,,곳,lugar
P039,word,,따뜻해요,es cálido
P040,word,,생각하다,pensar
2013,phrase,Hana,아침 먹을래요? 밥하고 국이 있어요.,¿Quieres desayunar? Hay arroz y sopa.
2014,phrase,Saul,"네, 먹고 싶어요. 조금 배고파요.","Sí, quiero comer. Tengo un poco de hambre."
2015,phrase,Aru,천천히 먹어요. 뜨거워요.,Come despacio. Está caliente.
2016,phrase,Saul,"아, 정말 뜨거워요. 하지만 맛있어요.","Ah, de verdad está caliente. Pero está rico."
2017,phrase,Hana,더 먹을래요? 아직 음식이 많아요.,¿Quieres comer más? Todavía hay mucha comida.
2018,phrase,Saul,조금만 더 주세요. 감사합니다.,"Deme solo un poco más, por favor. Gracias."
P041,word,,밥,arroz / comida
P042,word,,국,sopa
P043,word,,먹고 싶어요,quiero comer
P044,word,,뜨거워요,está caliente
P045,word,,더,más
2019,phrase,Saul,"하나 씨, 제가 도와드릴까요?","Hana, ¿puedo ayudarle?"
2020,phrase,Hana,고마워요. 그럼 이 그릇을 가져와 주세요.,"Gracias. Entonces traiga este plato, por favor."
2021,phrase,Saul,이 그릇이요? 어디에 놓을까요?,¿Este plato? ¿Dónde lo pongo?
2022,phrase,Hana,탁자 위에 놓으면 돼요.,Puedes ponerlo sobre la mesa.
2023,phrase,Aru,"사울 씨, 조심하세요. 그릇이 조금 무거워요.","Saul, tenga cuidado. El plato es un poco pesado."
2024,phrase,Saul,괜찮아요. 이제 이런 일은 할 수 있어요.,Está bien. Ahora puedo hacer este tipo de cosas.
P046,word,,그릇,plato / recipiente
P047,word,,가져오다,traer
P048,word,,놓다,poner
P049,word,,탁자,mesa
P050,word,,무거워요,es pesado
P051,word,,할 수 있어요,puedo hacerlo
2025,phrase,Hana,저는 여기에서 가족하고 같이 살아요.,Vivo aquí con mi familia.
2026,phrase,Saul,가족이요? 가족은 몇 명이에요?,¿Familia? ¿Cuántas personas son en su familia?
2027,phrase,Hana,"저하고 동생, 그리고 할머니가 있어요.","Estoy yo, mi hermano menor y mi abuela."
2028,phrase,Aru,하나 씨의 할머니는 마을에서 아주 유명해요.,La abuela de Hana es muy famosa en la aldea.
2029,phrase,Saul,왜 유명해요?,¿Por qué es famosa?
2030,phrase,Hana,모르는 게 거의 없어요. 그래서 사람들이 자주 찾아와요.,Casi no hay nada que no sepa. Por eso la gente viene a verla a menudo.
P052,word,,가족,familia
P053,word,,같이,juntos
P054,word,,동생,hermano/a menor
P055,word,,할머니,abuela
P056,word,,유명해요,es famoso
P057,word,,자주,a menudo
2031,phrase,Saul,"아루 씨, 지금 몇 시예요?","Aru, ¿qué hora es ahora?"
